Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body_bott_link,-0.0122155028263459,-4.96658397779976E-08,-0.00438944402790101,0,0,0,0.669776829617329,0.00539268235460428,-1.35829186636467E-08,8.340914352775E-05,0.013420683457625,-3.04908606084847E-09,0.0186360064602886,0,0,0,0,0,0,package://mse6_description/meshes/body_bott_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mse6_description/meshes/body_bott_link.STL,,BodyBottom-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
body_upper_link,0.0106523635822384,0.0957583223773372,7.70065903718291E-07,0,0,0,3.31897594877579,0.0322670587324957,-0.00197272153001404,4.43741515523342E-08,0.0616233997912911,1.63446488019635E-07,0.0545208392676588,0,0,0,0,0,0,package://mse6_description/meshes/body_upper_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mse6_description/meshes/body_upper_link.STL,,BodyUpper-1,Origin_body_bottom_j,Axis_body_bottom_j,body_bottom_j,fixed,0,0,0.024,1.5707963267949,0,0,body_bott_link,0,0,0,,,,,,,,,,,,
fwd_left_wheel_holder_link,0,0.00371724710345012,0.0124491235899492,0,0,0,0.0211931028009629,3.53229576994219E-06,-3.11019910319938E-22,2.36573655190166E-22,3.30604049675199E-06,1.92941956416194E-07,3.06173646956124E-06,0,0,0,0,0,0,package://mse6_description/meshes/fwd_left_wheel_holder_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mse6_description/meshes/fwd_left_wheel_holder_link.STL,,WheelHolder-1,Origin_fwd_left_wheel_j,Axis_fwd_left_wheel_j,fwd_left_wheel_holder_j,revolute,-0.1,-0.054,0.065,0,0,0.035451,body_upper_link,0,0,1,0.5,0.5,-0.5,0.5,,,0.01,0.05,,,,
fwd_left_wheel_link,7.49757243442839E-09,0.0140446440204255,-1.20170077361204E-08,0,0,0,0.051765802678868,1.23841652921864E-05,-4.39731323252349E-12,-1.01190667024014E-11,1.76432330584378E-05,8.24926177913857E-12,1.23842195690004E-05,0,0,0,0,0,0,package://mse6_description/meshes/fwd_left_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mse6_description/meshes/fwd_left_wheel_link.STL,,Wheel-1,Origin_fwd_left_wheel_j2,,fwd_left_wheel_j,continuous,0,0,0.03,1.5708,0,1.5353,fwd_left_wheel_holder_link,0,0,0,,,,,,,0.05,0.01,,,,
fwd_right_wheel_holder_link,1.38777878078145E-17,0.00371724710345012,0.00244912358994914,0,0,0,0.0211931028009629,3.53229576994218E-06,-1.0977341764353E-22,-1.87522225797809E-22,3.30604049675198E-06,1.92941956416194E-07,3.06173646956124E-06,0,0,0,0,0,0,package://mse6_description/meshes/fwd_right_wheel_holder_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mse6_description/meshes/fwd_right_wheel_holder_link.STL,,WheelHolder-4,Origin_fwd_right_wheel_holder_j,,fwd_right_wheel_holder_j,revolute,-0.1,-0.054,-0.075,3.1416,0,3.1416,body_upper_link,0,0,0,0.5,0.5,-0.5,0.5,,,0.01,0.05,,,,
fwd_right_wheel_link,7.49757245177562E-09,0.0140446440204255,-1.20170077083648E-08,0,0,0,0.051765802678868,1.23841652921864E-05,-4.39731322971975E-12,-1.01190667028144E-11,1.76432330584378E-05,8.2492617790428E-12,1.23842195690004E-05,0,0,0,0,0,0,package://mse6_description/meshes/fwd_right_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mse6_description/meshes/fwd_right_wheel_link.STL,,Wheel-5,Origin_fwd_right_wheel_j,,fwd_right_wheel_j,continuous,0,0,0.02,1.5708,0,3.1416,fwd_right_wheel_holder_link,0,0,0,,,,,,,0.05,0.01,,,,
back_left_wheel_holder_link,-1.38777878078145E-17,0.00371724710345012,0.00244912358994914,0,0,0,0.0211931028009629,3.53229576994218E-06,-1.3305004692995E-22,2.88569550200515E-22,3.30604049675198E-06,1.92941956416194E-07,3.06173646956124E-06,0,0,0,0,0,0,package://mse6_description/meshes/back_left_wheel_holder_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mse6_description/meshes/back_left_wheel_holder_link.STL,,WheelHolder-2,Origin_back_left_wheel_holder_j,,back_left_wheel_holder_j,fixed,0.1,-0.054,0.075,0,0,0,body_upper_link,0,0,0,,,,,,,,,,,,
back_left_wheel_link,7.49757243789784E-09,0.0140446440204255,-1.20170077153037E-08,0,0,0,0.051765802678868,1.23841652921864E-05,-4.39731323173739E-12,-1.01190667019079E-11,1.76432330584378E-05,8.24926178262453E-12,1.23842195690005E-05,0,0,0,0,0,0,package://mse6_description/meshes/back_left_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mse6_description/meshes/back_left_wheel_link.STL,,Wheel-3,Origin_back_left_wheel_j,,back_left_wheel_j,continuous,0,0,0.02,1.5708,0,0,back_left_wheel_holder_link,0,0,0,,,,,,,0.01,0.05,,,,
back_right_wheel_holder_link,-1.38777878078145E-17,0.00371724710345012,0.00244912358994917,0,0,0,0.0211931028009629,3.53229576994219E-06,2.11005131993304E-22,-3.28467007444202E-23,3.30604049675199E-06,1.92941956416194E-07,3.06173646956124E-06,0,0,0,0,0,0,package://mse6_description/meshes/back_right_wheel_holder_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mse6_description/meshes/back_right_wheel_holder_link.STL,,WheelHolder-3,Origin_back_right_wheel_holder_j,,back_right_wheel_holder_j,fixed,0.1,-0.054,-0.075,3.1416,0,3.1416,body_upper_link,0,0,0,,,,,,,,,,,,
back_right_wheel_link,7.49757243789784E-09,0.0140446440204255,-1.20170077222426E-08,0,0,0,0.051765802678868,1.23841652921864E-05,-4.39731323051131E-12,-1.01190667027069E-11,1.76432330584378E-05,8.24926178070993E-12,1.23842195690004E-05,0,0,0,0,0,0,package://mse6_description/meshes/back_right_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://mse6_description/meshes/back_right_wheel_link.STL,,Wheel-4,Origin_back_right_wheel_j,,back_right_wheel_j,continuous,0,0,0.02,1.5708,0,1.5708,back_right_wheel_holder_link,0,0,0,,,,,,,0.01,0.05,,,,
